"COUNTRY_CODE/CODE_PAYS","START_DATE/DATE_DE_DÉBUT","END_DATE/DATE_DE_FIN","COUNTRY_LABEL_EN/MARQUE_DE_PAYS_AN","COUNTRY_LABEL_FR/MARQUE_DE_PAYS_FR","PROVINCE_CODE/CODE_PROVINCE","PROVINCE_LABEL_EN/MARQUE_DE_PROVINCE_AN","PROVINCE_LABEL_FR/MARQUE_DE_PROVINCE_FR","STATE_CODE/CODE_D_ÉTAT","STATE_LABEL_EN/MARQUE_D_ÉTAT_AN","STATE_LABEL_FR/MARQUE_D_ÉTAT_FR"
"149","196601","---","Denmark","Danemark","","","","","",""
"150","196601","---","Faroe Islands","Féroé, Îles","","","","","",""
"152","200501","---","Åland Islands","Åland, Îles","","","","","",""
"153","196601","---","Finland","Finlande","","","","","",""
"154","196601","---","France","France","","","","","",""
"155","197001","199009","West Germany","Allemagne de l'Ouest","","","","","",""
"155","199010","---","Germany","Allemagne","","","","","",""
"156","196601","---","Andorra","Andorre","","","","","",""
"157","196601","---","Monaco","Monaco","","","","","",""
"159","196601","---","Greece","Grèce","","","","","",""
"163","196601","---","Iceland","Islande","","","","","",""
"167","196601","---","Italy","Italie","","","","","",""
"168","196601","---","San Marino","Saint-Marin","","","","","",""
"169","196601","---","Holy See (Vatican City State)","Saint-Siège (État de la Cité du Vatican)","","","","","",""
"170","198401","---","Luxembourg","Luxembourg","","","","","",""
"173","196601","---","Netherlands","Pays-Bas","","","","","",""
"176","196601","---","Norway","Norvège","","","","","",""
"177","196601","---","Svalbard and Jan Mayen","Svalbard et l'Île Jan Mayen","","","","","",""
"178","196601","---","Portugal","Portugal","","","","","",""
"182","196601","---","Spain","Espagne","","","","","",""
"185","196601","---","Sweden","Suède","","","","","",""
"186","196601","---","Switzerland","Suisse","","","","","",""
"187","196601","---","Liechtenstein","Liechtenstein","","","","","",""
"242","196601","---","Albania","Albanie","","","","","",""
"245","196601","---","Bulgaria","Bulgarie","","","","","",""
"246","196601","199303","Czechoslovakia","Tchécoslovaquie","","","","","",""
"247","199304","---","Czechia","Tchéquie","","","","","",""
"248","199304","---","Slovakia","Slovaquie","","","","","",""
"258","196601","199009","East Germany","Allemagne de l'Est","","","","","",""
"262","196601","---","Hungary","Hongrie","","","","","",""
"273","201701","---","Kosovo","Kosovo","","","","","",""
"274","201701","---","Serbia","Serbie","","","","","",""
"274","200610","201612","Serbia","Serbie","","","","","",""
"275","200610","---","Montenegro","Monténégro","","","","","",""
"276","199201","---","Macedonia, North","Macédoine, du Nord","","","","","",""
"277","196601","---","Poland","Pologne","","","","","",""
"278","199201","---","Bosnia and Herzegovina","Bosnie-Herzégovine","","","","","",""
"279","196601","---","Romania","Roumanie","","","","","",""
"280","199201","---","Armenia","Arménie","","","","","",""
"281","199201","---","Azerbaijan","Azerbaïdjan","","","","","",""
"282","199201","---","Estonia","Estonie","","","","","",""
"283","199201","---","Latvia","Lettonie","","","","","",""
"284","199201","---","Lithuania","Lituanie","","","","","",""
"285","196601","199112","Byelorussian Soviet Socialist Republic","République Socialiste Soviétique Biélorussie","","","","","",""
"285","199201","---","Belarus","Bélarus","","","","","",""
